Native CPU + submission-order software raster; in-game UNWITNESSED.
Tolerances: 1 HUD px, 6 RGB units. Minimum gates have zero tolerance.

| Aspect | Feature | Actual | Target | Residual | Result |
| --- | --- | --- | --- | --- | --- |
| 4:3 | body | [37.0, 37.0, 37.0] | [37.833, 37.833, 37.833] | 0.833 RGB | PASS |
| 4:3 | away_wash | [63.5, 81.0, 128.5] | [62.875, 83.906, 126.906] | 2.906 RGB | PASS |
| 4:3 | home_wash | [147.5, 61.5, 90.75] | [152.688, 64.594, 88.5] | 5.188 RGB | PASS |
| 4:3 | centre_wash | [56.667, 59.667, 63.333] | [52.75, 59.75, 63.583] | 3.917 RGB | PASS |
| 4:3 | away_wing | [65.667, 105.0, 173.833] | [62.25, 101.75, 170.0] | 3.833 RGB | PASS |
| 4:3 | home_wing | [226.333, 40.25, 84.917] | [227.0, 37.833, 84.917] | 2.417 RGB | PASS |
| 4:3 | away_bottom_rim | [80.938, 107.688, 160.625] | [79.375, 104.438, 153.625] | 7.0 RGB | FAIL |
| 4:3 | home_bottom_rim | [170.875, 67.75, 91.0] | [172.938, 64.75, 93.875] | 3.0 RGB | PASS |
| 4:3 | centre_bottom_rim | [42.362, 43.488, 44.762] | [43.912, 43.188, 45.575] | 1.55 RGB | PASS |
| 4:3 | plate_lip | [185.333, 20.333, 67.667] | [185.967, 19.867, 62.6] | 5.067 RGB | PASS |
| 4:3 | plate_dip | [171.333, 21.0, 64.0] | [170.433, 21.333, 63.733] | 0.9 RGB | PASS |
| 4:3 | plate_sheen | [182.8, 8.2, 57.0] | [186.4, 11.68, 59.7] | 3.6 RGB | PASS |
| 4:3 | plate_bottom | [159.667, 23.667, 62.333] | [161.467, 20.5, 59.5] | 3.167 RGB | PASS |
| 4:3 | housing | [37.565, 38.785, 38.448] | [37.177, 35.633, 37.032] | 3.152 RGB | PASS |
| 4:3 | capsule | [247.738, 247.738, 249.738] | [248.177, 248.177, 249.215] | 0.523 RGB | PASS |
| 4:3 | capsule_rim | [195.638, 195.062, 195.725] | [194.312, 194.612, 194.712] | 1.325 RGB | PASS |
| 4:3 | red | [214.995, 0.01, 50.995] | [213.869, 0.0, 50.066] | 1.126 RGB | PASS |
| 4:3 | pointer | [59.567, 46.933, 51.567] | [55.2, 43.167, 49.9] | 4.367 RGB | PASS |
| 4:3 | reference_range.body | [37.0, 37.0, 37.0] | {'min': [22.733, 22.733, 22.733], 'max': [82.252, 98.133, 38.925]} | 0.0 RGB | PASS |
| 4:3 | reference_range.away_wash | [63.5, 81.0, 128.5] | {'min': [46.594, 55.906, 44.188], 'max': [98.219, 111.406, 148.438]} | 0.0 RGB | PASS |
| 4:3 | reference_range.home_wash | [147.5, 61.5, 90.75] | {'min': [70.406, 42.188, 32.156], 'max': [193.031, 104.312, 122.75]} | 0.0 RGB | PASS |
| 4:3 | reference_range.centre_wash | [56.667, 59.667, 63.333] | {'min': [42.167, 40.417, 42.333], 'max': [103.25, 102.833, 108.25]} | 0.0 RGB | PASS |
| 4:3 | reference_range.away_wing | [65.667, 105.0, 173.833] | {'min': [55.417, 73.667, 41.583], 'max': [80.167, 106.583, 177.917]} | 0.0 RGB | PASS |
| 4:3 | reference_range.home_wing | [226.333, 40.25, 84.917] | {'min': [81.167, 35.083, 28.667], 'max': [230.75, 97.5, 87.667]} | 0.0 RGB | PASS |
| 4:3 | reference_range.away_bottom_rim | [80.938, 107.688, 160.625] | {'min': [57.312, 70.0, 39.188], 'max': [116.875, 136.188, 178.938]} | 0.0 RGB | PASS |
| 4:3 | reference_range.home_bottom_rim | [170.875, 67.75, 91.0] | {'min': [82.375, 42.062, 36.188], 'max': [202.312, 105.875, 130.75]} | 0.0 RGB | PASS |
| 4:3 | reference_range.centre_bottom_rim | [42.362, 43.488, 44.762] | {'min': [39.712, 38.862, 33.612], 'max': [102.312, 102.288, 101.425]} | 0.0 RGB | PASS |
| 4:3 | reference_range.plate_lip | [185.333, 20.333, 67.667] | {'min': [6.267, 6.0, 10.433], 'max': [187.133, 99.7, 160.767]} | 0.0 RGB | PASS |
| 4:3 | reference_range.plate_dip | [171.333, 21.0, 64.0] | {'min': [17.6, 15.3, 19.167], 'max': [176.8, 95.167, 143.733]} | 0.0 RGB | PASS |
| 4:3 | reference_range.plate_sheen | [182.8, 8.2, 57.0] | {'min': [12.0, 11.46, 12.0], 'max': [189.58, 96.72, 149.5]} | 3.26 RGB | PASS |
| 4:3 | reference_range.plate_bottom | [159.667, 23.667, 62.333] | {'min': [11.733, 11.233, 10.833], 'max': [166.5, 93.7, 132.7]} | 0.0 RGB | PASS |
| 4:3 | reference_range.housing | [37.565, 38.785, 38.448] | {'min': [24.062, 23.287, 23.277], 'max': [79.85, 95.985, 49.9]} | 0.0 RGB | PASS |
| 4:3 | reference_range.capsule | [247.738, 247.738, 249.738] | {'min': [82.077, 96.408, 46.069], 'max': [248.846, 248.646, 250.438]} | 0.0 RGB | PASS |
| 4:3 | reference_range.capsule_rim | [195.638, 195.062, 195.725] | {'min': [124.825, 133.788, 106.4], 'max': [194.488, 194.612, 196.35]} | 1.15 RGB | PASS |
| 4:3 | reference_range.red | [214.995, 0.01, 50.995] | {'min': [82.338, 0.0, 38.47], 'max': [249.227, 243.919, 243.47]} | 0.0 RGB | PASS |
| 4:3 | reference_range.pointer | [59.567, 46.933, 51.567] | {'min': [44.067, 42.733, 43.667], 'max': [108.767, 102.833, 109.233]} | 0.0 RGB | PASS |
| 4:3 | away_logo_box | [212.0, 403.615, 282.222, 429.333] | [212.0, 403.615, 281.778, 429.748] | 0.444 HUD px | PASS |
| 4:3 | home_logo_box | [569.778, 391.17, 657.778, 435.556] | [569.778, 391.585, 657.778, 435.141] | 0.415 HUD px | PASS |
| 4:3 | away_score_box | [327.111, 400.296, 344.444, 421.867] | [327.111, 399.881, 344.889, 422.281] | 0.444 HUD px | PASS |
| 4:3 | home_score_box | [506.667, 400.296, 524.444, 421.867] | [506.222, 400.296, 524.0, 422.696] | 0.83 HUD px | PASS |
| 4:3 | score_white | [253.0, 253.0, 253.0] | [253.0, 253.0, 253.0] | 0.0 RGB | PASS |
| 4:3 | separator_x | 399.378 | 400.0 | 0.622 HUD px | PASS |
| 4:3 | down_cap | 12 | 9.541 | 2.459 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 4:3 | quarter_cap | 11 | 7.881 | 3.119 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 4:3 | play_clock_cap | 11 | 7.881 | 3.119 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 4:3 | label_minimum_cap | 12 | 12 | 0.0 HUD scanlines | PASS |
| 4:3 | label_minimum_stem | 3.536 | 2.5 | 0.0 HUD px | PASS |
| 4:3 | label_skipped_columns | 8 | 8 | 0.0 count | PASS |
| 4:3 | label_digit_width | 10.664 | 7.111 | 3.553 HUD px | IMPOSSIBLE | The requested 2.5 HUD pixel stems and retail-scale digits require a wider SD cut than the 16 source pixel broadcast digit.
| 16:9 | body | [37.0, 37.0, 37.0] | [37.8, 37.8, 37.8] | 0.8 RGB | PASS |
| 16:9 | away_wash | [63.5, 81.0, 128.5] | [62.781, 84.031, 126.938] | 3.031 RGB | PASS |
| 16:9 | home_wash | [147.5, 61.5, 90.75] | [152.594, 64.5, 88.688] | 5.094 RGB | PASS |
| 16:9 | centre_wash | [56.667, 59.667, 63.333] | [52.833, 59.75, 63.583] | 3.833 RGB | PASS |
| 16:9 | away_wing | [65.667, 105.0, 173.667] | [61.833, 101.5, 169.667] | 4.0 RGB | PASS |
| 16:9 | home_wing | [226.667, 40.25, 84.75] | [228.5, 36.833, 84.75] | 3.417 RGB | PASS |
| 16:9 | away_bottom_rim | [80.938, 107.25, 160.562] | [78.938, 103.625, 152.5] | 8.062 RGB | FAIL |
| 16:9 | home_bottom_rim | [170.812, 67.375, 90.875] | [173.0, 64.75, 92.938] | 2.625 RGB | PASS |
| 16:9 | centre_bottom_rim | [42.362, 43.338, 44.725] | [43.825, 43.0, 45.5] | 1.463 RGB | PASS |
| 16:9 | plate_lip | [185.333, 20.333, 67.667] | [186.367, 19.567, 62.5] | 5.167 RGB | PASS |
| 16:9 | plate_dip | [171.333, 21.0, 64.0] | [170.5, 21.1, 63.6] | 0.833 RGB | PASS |
| 16:9 | plate_sheen | [182.8, 8.2, 57.0] | [186.72, 12.2, 59.92] | 4.0 RGB | PASS |
| 16:9 | plate_bottom | [159.667, 23.667, 62.333] | [161.467, 20.567, 59.2] | 3.133 RGB | PASS |
| 16:9 | housing | [37.557, 38.767, 38.432] | [37.102, 35.56, 36.957] | 3.207 RGB | PASS |
| 16:9 | capsule | [248.292, 248.285, 250.085] | [248.115, 248.115, 249.277] | 0.808 RGB | PASS |
| 16:9 | capsule_rim | [195.675, 195.038, 195.725] | [194.05, 194.45, 194.538] | 1.625 RGB | PASS |
| 16:9 | red | [214.965, 0.48, 51.318] | [213.455, 0.066, 50.051] | 1.51 RGB | PASS |
| 16:9 | pointer | [59.633, 46.233, 51.467] | [55.133, 43.133, 49.733] | 4.5 RGB | PASS |
| 16:9 | reference_range.body | [37.0, 37.0, 37.0] | {'min': [22.7, 22.7, 22.7], 'max': [82.107, 97.938, 38.968]} | 0.0 RGB | PASS |
| 16:9 | reference_range.away_wash | [63.5, 81.0, 128.5] | {'min': [46.344, 55.875, 44.375], 'max': [98.375, 111.531, 148.094]} | 0.0 RGB | PASS |
| 16:9 | reference_range.home_wash | [147.5, 61.5, 90.75] | {'min': [70.75, 42.375, 31.5], 'max': [192.969, 104.344, 122.594]} | 0.0 RGB | PASS |
| 16:9 | reference_range.centre_wash | [56.667, 59.667, 63.333] | {'min': [42.417, 40.083, 42.667], 'max': [102.833, 102.333, 108.417]} | 0.0 RGB | PASS |
| 16:9 | reference_range.away_wing | [65.667, 105.0, 173.667] | {'min': [55.75, 73.5, 40.5], 'max': [78.667, 106.083, 177.5]} | 0.0 RGB | PASS |
| 16:9 | reference_range.home_wing | [226.667, 40.25, 84.75] | {'min': [80.917, 34.333, 27.75], 'max': [230.417, 96.917, 87.25]} | 0.0 RGB | PASS |
| 16:9 | reference_range.away_bottom_rim | [80.938, 107.25, 160.562] | {'min': [57.188, 69.438, 38.562], 'max': [115.438, 134.375, 177.625]} | 0.0 RGB | PASS |
| 16:9 | reference_range.home_bottom_rim | [170.812, 67.375, 90.875] | {'min': [82.125, 42.0, 35.938], 'max': [201.812, 105.688, 130.812]} | 0.0 RGB | PASS |
| 16:9 | reference_range.centre_bottom_rim | [42.362, 43.338, 44.725] | {'min': [39.738, 38.85, 33.3], 'max': [102.238, 102.238, 101.462]} | 0.0 RGB | PASS |
| 16:9 | reference_range.plate_lip | [185.333, 20.333, 67.667] | {'min': [6.133, 5.933, 10.433], 'max': [187.233, 99.7, 160.967]} | 0.0 RGB | PASS |
