directory_id	display_name	type	savegame_size	savegame_sha256	extra_size	extra_sha256	first_cluster
256B40374FD6	Franchise1	FXG	720044	0db746fe2c8ae2102fdd420863a5e5bcddec4b83ac3e234568824c337e4422a7	20	ab292994ec39120fa02c384353bc4214582597b95cb0968e27c7719f8627aa00	63
83C3760943CB	Settings1	STG	736	b4e40e69fa7014d5172a52ff3821b88485e3255272ad5a884687b2c48a7204d9	20	16ea662484225e252db4dae2dbc08d21b9d39484ecd97a68f120fea1c9e93a6f	58
0CE11954A556	06lions	TMM	11368	5ce0b3afd82a4e03dd9a805137ccaeaf251b7f7c03b091b62b5f27698e20ae4e	20	d48c9adcea38c9ab17ebcd5a1532c8e00f43d3b31458e194f1f32e2fe45946ae	226
0D1C1954A556	07lions	TMM	11368	2a82c61b2e086cde8989420f8876452cce2031f1da51ab86bffe4b750798e50c	20	857d54ca49603cadc2d3b0550a479e8035f1351d5fe5cbb8f7d0acd4cca76cba	231
0D5711F4A556	08Lions	TMM	11368	bc38fa456be430f27bede232bfef37463f680cddd13caffdca569c8145636d36	20	7f3cc84847b32a96a90acb0ff8b489654f47ba7030dd835e7948af013c7c9952	236
0D921954A556	09lions	TMM	11368	823d526fb608eaa80bb44779e6d9b5a5bac6155ea493e9f0814a7f4e63ec5f3a	20	4e72ebdd150f5052dbd2628bfa548d28e75e86606a2725bea1f2a2be166b918f	241
0B7F1954B2EF	10lions	TMM	11368	5eb577fbdbaeca0b70e46b47dc7fcc7649d0b177d41f051df27629e0532ea77e	20	ce7107d185cd3ce80dd4202fef4604785b4d1caaf40fe4f895b952fd657236ac	246
006F00611262	Noah	USR	20720	f204eba5094dc93813f6103ec5f5617c7f00586fbbd297970c0a51869fb4ea66	20	2b5e67e30dc6628614c20f44c20e21b16d84fb7a71d7393d4cb2295fd7c72d80	36
